num_ops,num_joints,threads_per_block,cpu_ms,omp_ms,gpu_pinned_kernel_ms,gpu_pinned_xfer_ms,gpu_pinned_total_ms,cpu_gflops,omp_gflops,gpu_pinned_gflops,speedup,correct,cpu_power_w,omp_power_w,gpu_pinned_power_w
500000,2,64,13.528000,7.424000,0.582912,3.653792,4.236704,4.730928,8.620690,109.793583,3.193048,1,11.351000,20.380000,29.358000
500000,4,64,24.330000,12.227000,0.537856,6.018336,6.556192,7.891492,15.702952,356.972881,3.710995,1,29.339000,29.363000,29.283000
500000,6,64,31.887000,15.610000,0.857856,8.408480,9.266336,10.035438,20.499680,373.022989,3.441166,1,29.390000,29.375000,29.383000
500000,8,64,40.105000,20.914000,0.943936,10.795264,11.739200,11.170677,21.421058,474.608453,3.416332,1,29.549000,29.626000,29.454000
500000,10,64,51.254000,25.753000,1.368352,13.185632,14.553984,11.238147,22.366326,420.944301,3.521647,1,29.473000,29.560000,29.483000
500000,12,64,59.414000,31.511000,2.472672,15.545760,18.018432,11.849059,22.341405,284.712248,3.297401,1,29.721000,29.647000,29.561000
500000,14,64,70.569000,35.888000,2.962400,17.942017,20.904417,11.789879,23.183237,280.853366,3.375794,1,29.792000,29.695000,29.637000
500000,16,64,78.668000,40.621000,4.105056,20.305376,24.410432,12.203183,23.633096,233.857966,3.222721,1,29.698000,29.579000,29.478000
500000,18,64,88.423000,44.754000,3.715104,22.696896,26.412000,12.304491,24.310676,292.858550,3.347834,1,29.761000,29.680000,29.589000
500000,20,64,99.471000,51.737000,3.639968,25.071264,28.711232,12.224668,23.503489,334.068878,3.464533,1,29.797000,29.605000,29.689000
500000,22,64,107.675000,57.263000,4.973280,27.456577,32.429857,12.482006,23.470653,270.244187,3.320243,1,29.815000,29.603000,29.609000
500000,24,64,117.407000,59.798000,6.020800,29.844257,35.865057,12.537583,24.616208,244.485778,3.273576,1,29.854000,29.717000,29.700000
500000,26,64,126.930000,67.454000,5.509408,32.224670,37.734078,12.605373,23.719868,290.412328,3.363803,1,29.830000,29.725000,29.717000
500000,28,64,136.659000,72.331000,6.437248,34.599552,41.036800,12.644612,23.890172,268.437683,3.330157,1,29.823000,29.777000,29.777000
500000,30,64,146.275000,77.409000,6.553408,36.988129,43.541537,12.688429,23.976540,283.211416,3.359436,1,29.806000,29.777000,29.753000
500000,32,64,155.925000,81.703000,7.894272,39.364162,47.258434,12.724066,24.283074,251.321469,3.299411,1,29.872000,29.818000,29.793000
